id,title,description,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,unitName,quantity,valueAmount,currencyCode,valuationDate,contractNumber,contractDateSigned,contractUrl,contractStatus,contractPurpose,contractRentalRate,contractCustodianName,contractCustodianId,contractUserName,contractUserId,contractPeriodStartDate,contractPeriodEndDate,contractPeriodMaxExtentDate,contractSchedule,contractValuePeriod,contractValueAmount,contractValueDescription,validityDate
80433-43954,"ГОСПОДАРЧИЙ КОРПУС, КАНАЛІЗАЦ.НАСОСНА СТАНЦІЯ","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,"02166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.ТТ,Л,РР",null,null,кв. м.,323.0,1 759 941.88,UAH,2020-12-01,"3330",2021-02-17,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ПРИВАТНЕ ПІДПРИЄМСТВО ПРИВАТНА ФІРМА ""ПЕТРО ВЕЛИКИЙ""","21577614",2021-02-17,2026-02-17,null,null,Місяць,19 500.00,null,2025-04-02
72637-43954,"ГОСПОДАРЧИЙ КОРПУС, КАНАЛІЗАЦ.НАСОСНА СТАНЦІЯ","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,"02166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.ТТ,Л,РР",null,null,кв. м.,152.0,1 240 400.00,UAH,2019-03-31,"896-2",2019-11-15,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РОЯЛ СЕРВІС""","24575679",2016-05-10,2022-11-13,null,null,Місяць,6 202.00,null,2025-05-08
83654-43952,"КИСНЕВА СТАНЦІЯ","КИСНЕВА СТАНЦІЯ",UA80000000000093317,"02660",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3",null,null,кв. м.,90.0,100 700.00,UAH,2023-05-31,"3758",2023-07-21,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ДЕРЖАВНА УСТАНОВА «ІНСТИТУТ СЕРЦЯ МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ’Я УКРАЇНИ»","38831595",2023-07-21,2028-10-19,null,null,Місяць,132.29,null,2025-04-02
83655-43954,"ГОСПОДАРЧИЙ КОРПУС, КАНАЛІЗАЦ.НАСОСНА СТАНЦІЯ","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,"02166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3",null,null,кв. м.,285.3,3 155 400.00,UAH,2023-04-30,"3751",2023-07-03,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ДЕРЖАВНИЙ ЗАКЛАД ""УКРАЇНСЬКИЙ НАУКОВО-ПРАКТИЧНИЙ ЦЕНТР ЕКСТРЕНОЇ МЕДИЧНОЇ ДОПОМОГИ ТА МЕДИЦИНИ КАТАСТРОФ МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ""","24932429",2023-07-03,2027-07-01,null,null,Місяць,7 888.50,null,2025-04-14
82731-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,12.0,0.00,UAH,null,"3648",2022-11-14,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КИЇВСТАР","21673832",2022-11-14,2027-11-14,null,null,Місяць,7 000.00,null,2025-04-17
82721-8230,"ІНФЕКЦІЙНЕ ВІДДІЛЕННЯ","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","КРАМСЬКОГО ІВАНА","21 ЛІ.В-3",null,null,кв. м.,45.4,1 127 000.00,UAH,2022-07-31,"3647",2022-11-09,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""","16478809",2022-11-09,2027-11-09,null,null,Місяць,3 113.98,null,2025-04-17
79386-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,28.8,759 000.00,UAH,2022-10-31,"3198",2023-01-27,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""","16478809",2023-01-27,2025-01-31,null,null,Місяць,2 021.52,null,2025-04-17
83469-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,67.7,1 700 000.00,UAH,2022-10-31,"2076-2",2023-05-25,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""","16478809",2023-05-25,2025-07-21,null,null,Місяць,4 527.78,null,2025-05-30
81937-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,6.0,44 755.43,UAH,2021-08-01,"2023-2",2021-11-30,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","КРОПОТКО РОМАН ВОЛОДИМИРОВИЧ","2977900431",2021-11-30,2024-11-30,null,null,Місяць,1 812.00,null,2025-04-17
80064-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,19.5,448 000.00,UAH,2020-01-31,"1521-2",2020-06-16,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ДОЧІРНЄ ПІДПРИЄМСТВО ""ПРЕМ'ЄРМЕД""","21684959",2020-06-20,2023-06-18,null,null,Місяць,4 547.39,null,2025-04-17
80097-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,23.0,530 400.00,UAH,2020-04-30,"1539-2",2020-06-16,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕЦЕПТИ ЖИТТЯ""","38358995",2020-06-20,2023-06-18,null,null,Місяць,5 304.00,null,2025-04-17
80098-17472,"ГОЛОВНИЙ КОРПУС","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","ВІДПОЧИНКУ","11 ЛІТ.А-7",null,null,кв. м.,18.0,367 100.00,UAH,2020-01-31,"1520-2",2020-06-16,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ФАРМАЦІЯ""","05415852",2020-08-27,2023-08-25,null,null,Місяць,3 718.78,null,2025-04-18
83606-29190,"ЦЕНТР СНІДу","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","КРАМСЬКОГО ІВАНА","21-А",null,null,кв. м.,8.4,0.00,UAH,null,"1001-3",2023-09-11,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ВСЕУКРАЇНСЬКА БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""ЧАС ЖИТТЯ ПЛЮС""","21718500",2023-09-11,2028-09-11,null,null,Місяць,708.00,null,2025-04-17
79038-29191,"ГОСПОДАРСЬКИЙ БЛОК","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","КРАМСЬКОГО ІВАНА","11  К.1",null,null,кв. м.,1229.04,7 020 674.57,UAH,2023-03-01,"1801-3",2023-04-27,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР"" СВЯТОШИНСЬКОГО РАЙОНУ М. КИЄВА","26199401",2023-04-27,2025-07-24,null,null,Місяць,0.08,null,2025-04-15
80707-8230,"ІНФЕКЦІЙНЕ ВІДДІЛЕННЯ","ЛІКУВАЛЬНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"СВЯТОШИНСЬКИЙ","КРАМСЬКОГО ІВАНА","11 ЛІТ.А-7",null,null,кв. м.,42.41,857 000.00,UAH,2021-04-06,"3373",2021-06-02,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИІВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5""","00185028","ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""","16478809",2021-06-02,2026-06-02,null,null,Місяць,3 019.42,null,2025-04-17
79054-7781,"СТАЙНЯ  № 6 НА 40ГОЛІВ","СТАЙНЯ",UA80000000000093317,"03680",Україна,м. Київ,null,null,Київ,"ГОЛОСІЇВСЬКИЙ","ГЛУШКОВА АКАДЕМІКА","10 ЛІТ.Ч №70",null,null,кв. м.,283.0,2 300 000.00,UAH,2019-07-31,"1276-2",2019-12-24,null,"Договір діє",null,null,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІПОДРОМ""","00846346","БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""ІПОТЕРАПЕВТИЧНИЙ ЦЕНТР ""СПІРІТ""","37509427",2019-12-24,2022-12-22,null,null,Місяць,1 916.67,null,2025-04-18
80356-7775,"Піддок","АДМІНІСТРАТИВНЕ",UA80000000000093317,"03680",Україна,м. Київ,null,null,Київ,"ГОЛОСІЇВСЬКИЙ","ГЛУШКОВА АКАДЕМІКА","10 ЛІТ.Е №69",null,null,кв. м.,68.85,1 299 000.00,UAH,2016-05-31,"2608-1",2021-02-05,null,"Договір діє",null,null,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІПОДРОМ""","00846346","БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""ІПОТЕРАПЕВТИЧНИЙ ЦЕНТР ""СПІРІТ""","37509427",2018-02-06,2024-02-03,null,null,Місяць,4 181.74,null,2025-04-18
78373-7789,"КУ3НЯ","ВИРОБНИЧЕ",UA80000000000093317,"03680",Україна,м. Київ,null,null,Київ,"ГОЛОСІЇВСЬКИЙ","ГЛУШКОВА АКАДЕМІКА","10 ЛІТ.1В №90",null,null,кв. м.,250.4,1 810 700.00,UAH,2019-02-28,"3040",2019-08-28,null,"Договір діє",null,null,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІПОДРОМ""","00846346","ЧЛЕН НАЦІОНАЛЬНОЇ СПІЛКИ ХУДОЖНИКІВ УКРАЇНИ ПОРТНОВА ЄЛІЗАВЕТА ОЛЕКСАНДРІВНА","2991718442",2019-08-28,2022-08-26,null,null,Місяць,4 027.06,null,2025-04-18
